chinese,english,source,refs_list
目光如炬,"have keen insight and perspicacity, being able to see through things",JSON,"['have keen insight and perspicacity, being able to see through things']"
相知有素,familiarity and mutual understanding,JSON,['familiarity and mutual understanding']
娇声娇气,having a delicate and sweet voice or manner,JSON,['having a delicate and sweet voice or manner']
抱残守缺,to cling to obsolete methods and refuse to make progress,JSON,['to cling to obsolete methods and refuse to make progress']
饱汉不知饿汉饥,The well-fed do not understand the plight of the hungry; someone who has never experienced hardship cannot truly empathize with those in need,JSON,"['the well-fed do not understand the plight of the hungry', 'someone who has never experienced hardship cannot truly empathize with those in need']"
以古为鉴,"""Taking ancient wisdom as a lesson"" or ""learning from history""",JSON,"['taking ancient wisdom as a lesson', 'learning from history']"
秋水伊人,a person who resembles the autumn water in beauty and elegance,JSON,['a person who resembles the autumn water in beauty and elegance']
同甘共苦,sharing joys and sorrows together,JSON,['sharing joys and sorrows together']
发财致富,to become wealthy or rich,JSON,['to become wealthy or rich']
德才兼备,possess both virtue and talent,JSON,['possess both virtue and talent']
体贴入微,being attentive to every detail; showing great thoughtfulness and care,JSON,"['being attentive to every detail', 'showing great thoughtfulness and care']"
故步自封,being unwilling to make progress and staying in one's comfort zone,JSON,"[""being unwilling to make progress and staying in one's comfort zone""]"
昂首阔步,walk with one's head held high and stride confidently,JSON,"[""walk with one's head held high and stride confidently""]"
彼竭我盈,"when one side becomes exhausted, the other side becomes abundant",JSON,"['when one side becomes exhausted, the other side becomes abundant']"
以身殉职,sacrifice oneself in the line of duty,JSON,['sacrifice oneself in the line of duty']
怒目相视,staring angrily at each other,JSON,['staring angrily at each other']
目瞪口呆,"staring dumbfounded, being in a state of complete surprise or astonishment",JSON,"['staring dumbfounded, being in a state of complete surprise or astonishment']"
安安静静,peaceful and quiet,JSON,['peaceful and quiet']
顽石点头,Even stubborn or difficult situations can be resolved with the right approach and effort,JSON,['even stubborn or difficult situations can be resolved with the right approach and effort']
知无不言，言无不尽,"Speaking without reservation, leaving nothing unsaid",JSON,"['speaking without reservation, leaving nothing unsaid']"
咆哮如雷,roar like thunder,JSON,['roar like thunder']
百般折磨,to torment in every possible way,JSON,['to torment in every possible way']
排斥异己,exclude or reject those who hold different views or opinions,JSON,['exclude or reject those who hold different views or opinions']
一鳞一爪,"a tiny bit, a small amount",JSON,"['a tiny bit, a small amount']"
喋喋不休,"constantly talking without a break, often in a tedious or annoying manner",JSON,"['constantly talking without a break, often in a tedious or annoying manner']"
八面玲珑,"skilled in handling people and situations, adept at navigating various social interactions",JSON,"['skilled in handling people and situations, adept at navigating various social interactions']"
疥癣之疾,a deep-rooted and stubborn problem that is difficult to get rid of,JSON,['a deep-rooted and stubborn problem that is difficult to get rid of']
豁达大度,"being open-minded and broad-minded, having a generous and understanding attitude",JSON,"['being open-minded and broad-minded, having a generous and understanding attitude']"
萍水相逢,to meet by chance; a fleeting encounter,JSON,"['to meet by chance', 'a fleeting encounter']"
置之死地而后快,"""to have a real showdown with an enemy is to seek death for oneself; to be desperate and fight bravely; fight bravely and die happily""

Note: This is a phrase often used in the context of a final, decisive battle where one is willing to give everything and face death rather than surrendering.",JSON,['to have a real showdown with an enemy is to seek death for oneself; to be desperate and fight bravely; fight bravely and die happily']
落井下石,"to add insult to injury, to kick someone when they're down",JSON,"[""to add insult to injury, to kick someone when they're down""]"
伐性之斧,harsh criticism or severe punishment,JSON,['harsh criticism or severe punishment']
时不我与,"opportunities or time that do not wait for anyone; if one does not seize the opportunity or act promptly, it may be missed or become irrelevant",JSON,"['opportunities or time that do not wait for anyone', 'if one does not seize the opportunity or act promptly, it may be missed or become irrelevant']"
一家之言,the opinion or viewpoint of one's family or group,JSON,"[""the opinion or viewpoint of one's family or group""]"
画龙点晴,To add the finishing touch or provide a crucial detail to make something perfect or complete,JSON,['to add the finishing touch or provide a crucial detail to make something perfect or complete']
言必信，行必果,"Promise only what you can deliver, and deliver on your promises",JSON,"['promise only what you can deliver, and deliver on your promises']"
专心致志,to be single-minded and focused,JSON,['to be single-minded and focused']
多嘴多舌,being overly talkative or interfering in other people's business,JSON,"[""being overly talkative or interfering in other people's business""]"
仰人鼻息,"to rely on someone completely, to feel intimidated by someone",JSON,"['to rely on someone completely, to feel intimidated by someone']"
一语中的,"getting straight to the point, expressing something accurately and incisively",JSON,"['getting straight to the point, expressing something accurately and incisively']"
三寸不烂之舌,a silver tongue that can persuade others with just a few words,JSON,['a silver tongue that can persuade others with just a few words']
长驱直入,to advance directly and forcefully towards a goal,JSON,['to advance directly and forcefully towards a goal']
视而不见，听而不闻,turning a blind eye and a deaf ear to something,JSON,['turning a blind eye and a deaf ear to something']
瘦骨嶙峋,emaciated; extremely thin,JSON,"['emaciated', 'extremely thin']"
挂羊头，卖狗肉,deceptive advertising or false advertising; to deceive others with false advertising,JSON,"['deceptive advertising or false advertising', 'to deceive others with false advertising']"
蟾宫折桂,"to achieve great success, especially in academic or literary pursuits",JSON,"['to achieve great success, especially in academic or literary pursuits']"
背井离乡,to leave one's hometown and live in a foreign place,JSON,"[""to leave one's hometown and live in a foreign place""]"
威逼利诱,using threats and incentives; refers to using force or persuasion to achieve one's goals,JSON,"['using threats and incentives', ""refers to using force or persuasion to achieve one's goals""]"
上天无路，入地无门,"no way out, nowhere to go",JSON,"['no way out, nowhere to go']"
